type,pitch,frequency,octave,duration,offset
Instrument,Soprano,,,,
Note,C#5,554.3652619537443,5,0.5,0.0
Note,B4,493.8833012561241,4,0.5,0.5
Note,A4,440.0,4,1.0,1.0
Note,B4,493.8833012561241,4,1.0,2.0
Note,C#5,554.3652619537443,5,1.0,3.0
Note,E5,659.2551138257401,5,1.0,4.0
Note,C#5,554.3652619537443,5,1.0,5.0
Note,B4,493.8833012561241,4,1.0,6.0
Note,A4,440.0,4,1.0,7.0
Note,C#5,554.3652619537443,5,1.0,8.0
Note,A4,440.0,4,0.5,9.0
Note,B4,493.8833012561241,4,0.5,9.5
Note,G#4,415.3046975799451,4,1.0,10.0
Note,F#4,369.99442271163434,4,1.0,11.0
Note,A4,440.0,4,1.0,12.0
Note,B4,493.8833012561241,4,1.0,13.0
Note,B4,493.8833012561241,4,1.0,14.0
Note,F#4,369.99442271163434,4,1.0,15.0
Note,E4,329.62755691286986,4,1.0,16.0
Note,A4,440.0,4,1.0,17.0
Note,B4,493.8833012561241,4,1.0,18.0
Note,C#5,554.3652619537443,5,1.0,19.0
Note,C#5,554.3652619537443,5,1.0,20.0
Note,A4,440.0,4,1.0,21.0
Note,B4,493.8833012561241,4,1.0,22.0
Note,C#5,554.3652619537443,5,1.0,23.0
Note,A4,440.0,4,1.0,24.0
Note,G#4,415.3046975799451,4,1.0,25.0
Note,F#4,369.99442271163434,4,1.0,26.0
Note,G#4,415.3046975799451,4,2.0,27.0
Note,F#4,369.99442271163434,4,2.0,29.0
Note,F#4,369.99442271163434,4,1.0,31.0
Note,F#4,369.99442271163434,4,1.0,32.0
Note,F#4,369.99442271163434,4,1.0,33.0
Note,F#4,369.99442271163434,4,0.5,34.0
Note,E#4,349.2282314330038,4,0.5,34.5
Note,F#4,369.99442271163434,4,1.0,35.0
Instrument,Alto,,,,
Note,E4,329.62755691286986,4,1.0,0.0
Note,F#4,369.99442271163434,4,1.0,1.0
Note,E4,329.62755691286986,4,1.0,2.0
Note,E4,329.62755691286986,4,1.0,3.0
Note,E4,329.62755691286986,4,1.0,4.0
Note,E4,329.62755691286986,4,0.5,5.0
Note,A4,440.0,4,0.5,5.5
Note,G#4,415.3046975799451,4,1.0,6.0
Note,E4,329.62755691286986,4,1.0,7.0
Note,G#4,415.3046975799451,4,1.0,8.0
Note,F#4,369.99442271163434,4,0.5,9.0
Note,G#4,415.3046975799451,4,0.5,9.5
Note,E#4,349.2282314330038,4,1.0,10.0
Note,C#4,277.182630976872,4,1.0,11.0
Note,F#4,369.99442271163434,4,1.0,12.0
Note,F#4,369.99442271163434,4,1.0,13.0
Note,E4,329.62755691286986,4,1.0,14.0
Note,D#4,311.1269837220808,4,1.0,15.0
Note,C#4,277.182630976872,4,1.0,16.0
Note,C#4,277.182630976872,4,0.5,17.0
Note,F#4,369.99442271163434,4,0.5,17.5
Note,E4,329.62755691286986,4,1.0,18.0
Note,E4,329.62755691286986,4,1.0,19.0
Note,A4,440.0,4,1.0,20.0
Note,F#4,369.99442271163434,4,1.0,21.0
Note,F#4,369.99442271163434,4,1.0,22.0
Note,G#4,415.3046975799451,4,1.0,23.0
Note,F#4,369.99442271163434,4,1.0,24.0
Note,F#4,369.99442271163434,4,0.5,25.0
Note,E#4,349.2282314330038,4,0.5,25.5
Note,F#4,369.99442271163434,4,0.5,26.0
Note,F#3,184.9972113558171,3,0.5,26.5
Note,C#4,277.182630976872,4,2.0,27.0
Note,C#4,277.182630976872,4,0.5,29.0
Note,D4,293.66476791740746,4,0.5,29.5
Note,E4,329.62755691286986,4,2.0,30.0
Note,D4,293.66476791740746,4,0.5,32.0
Note,C#4,277.182630976872,4,0.5,32.5
Note,B3,246.94165062806198,3,0.5,33.0
Note,C#4,277.182630976872,4,0.5,33.5
Note,D4,293.66476791740746,4,1.0,34.0
Note,C#4,277.182630976872,4,1.0,35.0
Instrument,Tenor,,,,
Note,A3,219.9999999999999,3,0.5,0.0
Note,B3,246.94165062806198,3,0.5,0.5
Note,C#4,277.182630976872,4,1.0,1.0
Note,B3,246.94165062806198,3,1.0,2.0
Note,A3,219.9999999999999,3,1.0,3.0
Note,B3,246.94165062806198,3,1.0,4.0
Note,A3,219.9999999999999,3,0.5,5.0
Note,E4,329.62755691286986,4,0.5,5.5
Note,E4,329.62755691286986,4,0.5,6.0
Note,D4,293.66476791740746,4,0.5,6.5
Note,C#4,277.182630976872,4,1.0,7.0
Note,C#4,277.182630976872,4,1.0,8.0
Note,C#4,277.182630976872,4,0.5,9.0
Note,D4,293.66476791740746,4,0.5,9.5
Note,C#4,277.182630976872,4,0.5,10.0
Note,B3,246.94165062806198,3,0.5,10.5
Note,A3,219.9999999999999,3,1.0,11.0
Note,C#4,277.182630976872,4,1.0,12.0
Note,B3,246.94165062806198,3,1.0,13.0
Note,B3,246.94165062806198,3,1.0,14.0
Note,B3,246.94165062806198,3,0.5,15.0
Note,A3,219.9999999999999,3,0.5,15.5
Note,G#3,207.65234878997245,3,1.0,16.0
Note,F#3,184.9972113558171,3,0.5,17.0
Note,D4,293.66476791740746,4,0.5,17.5
Note,C#4,277.182630976872,4,0.5,18.0
Note,B3,246.94165062806198,3,0.5,18.5
Note,A3,219.9999999999999,3,1.0,19.0
Note,E4,329.62755691286986,4,1.0,20.0
Note,D4,293.66476791740746,4,1.0,21.0
Note,D4,293.66476791740746,4,1.0,22.0
Note,C#4,277.182630976872,4,1.0,23.0
Note,C#4,277.182630976872,4,1.0,24.0
Note,D4,293.66476791740746,4,0.5,25.0
Note,C#4,277.182630976872,4,0.5,25.5
Note,C#4,277.182630976872,4,0.5,26.0
Note,B3,246.94165062806198,3,0.5,26.5
Note,E#3,174.61411571650183,3,2.0,27.0
Note,F#3,184.9972113558171,3,1.0,29.0
Note,C#4,277.182630976872,4,2.0,30.0
Note,B3,246.94165062806198,3,0.5,32.0
Note,A#3,233.08188075904488,3,0.5,32.5
Note,B3,246.94165062806198,3,1.0,33.0
Note,B3,246.94165062806198,3,1.0,34.0
Note,A#3,233.08188075904488,3,1.0,35.0
Instrument,Bass,,,,
Note,A3,219.9999999999999,3,0.5,0.0
Note,G#3,207.65234878997245,3,0.5,0.5
Note,F#3,184.9972113558171,3,1.0,1.0
Note,G#3,207.65234878997245,3,1.0,2.0
Note,A3,219.9999999999999,3,1.0,3.0
Note,G#3,207.65234878997245,3,1.0,4.0
Note,A3,219.9999999999999,3,0.5,5.0
Note,C#3,138.59131548843592,3,0.5,5.5
Note,E3,164.81377845643485,3,1.0,6.0
Note,A2,109.99999999999989,2,1.0,7.0
Note,E#3,174.61411571650183,3,1.0,8.0
Note,F#3,184.9972113558171,3,0.5,9.0
Note,B2,123.4708253140309,2,0.5,9.5
Note,C#3,138.59131548843592,3,1.0,10.0
Note,F#2,92.4986056779085,2,1.0,11.0
Note,F#3,184.9972113558171,3,1.0,12.0
Note,G#3,207.65234878997245,3,0.5,13.0
Note,F#3,184.9972113558171,3,0.5,13.5
Note,G#3,207.65234878997245,3,0.5,14.0
Note,A3,219.9999999999999,3,0.5,14.5
Note,B3,246.94165062806198,3,0.5,15.0
Note,B2,123.4708253140309,2,0.5,15.5
Note,C#3,138.59131548843592,3,1.0,16.0
Note,F#3,184.9972113558171,3,1.0,17.0
Note,G#3,207.65234878997245,3,1.0,18.0
Note,A3,219.9999999999999,3,1.0,19.0
Note,A3,219.9999999999999,3,1.0,20.0
Note,D4,293.66476791740746,4,1.0,21.0
Note,B3,246.94165062806198,3,1.0,22.0
Note,E#3,174.61411571650183,3,1.0,23.0
Note,F#3,184.9972113558171,3,1.0,24.0
Note,B2,123.4708253140309,2,0.5,25.0
Note,C#3,138.59131548843592,3,0.5,25.5
Note,D3,146.83238395870364,3,1.0,26.0
Note,C#3,138.59131548843592,3,2.0,27.0
Note,A#2,116.54094037952237,2,2.0,29.0
Note,B2,123.4708253140309,2,1.0,31.0
Note,C#3,138.59131548843592,3,1.0,32.0
Note,D3,146.83238395870364,3,1.0,33.0
Note,B2,123.4708253140309,2,1.0,34.0
Note,F#3,184.9972113558171,3,1.0,35.0
